<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,125735,13.00000,1000
HPQ,0,20121115,125735,13.00000,100
HPQ,0,20121115,125735,13.00000,300
HPQ,0,20121115,125735,13.00000,100
HPQ,0,20121115,125847,12.99000,200
HPQ,0,20121115,125847,12.99000,100
HPQ,0,20121115,125847,12.99000,1000
HPQ,0,20121115,125847,12.99000,100
HPQ,0,20121115,125847,12.99000,100
HPQ,0,20121115,125847,12.99000,200
HPQ,0,20121115,125847,12.99000,100
HPQ,0,20121115,125847,12.99000,107
HPQ,0,20121115,125847,12.99000,300
HPQ,0,20121115,125847,12.99000,100
HPQ,0,20121115,125958,12.99000,100
HPQ,0,20121115,125958,12.99000,600
HPQ,0,20121115,125958,12.99000,100
HPQ,0,20121115,130000,12.99000,100
HPQ,0,20121115,130000,12.99000,100
HPQ,0,20121115,130003,12.99000,300
HPQ,0,20121115,130003,12.99000,200
HPQ,0,20121115,130003,12.99000,200
HPQ,0,20121115,130003,12.99000,100
HPQ,0,20121115,130019,12.99000,100
HPQ,0,20121115,130021,12.99000,200
HPQ,0,20121115,130021,12.99000,900
HPQ,0,20121115,130021,12.99000,300
HPQ,0,20121115,130021,12.99000,100
HPQ,0,20121115,130021,12.99000,300
HPQ,0,20121115,130021,12.99000,200
HPQ,0,20121115,130021,12.99000,200
HPQ,0,20121115,130031,12.99000,100
HPQ,0,20121115,130042,12.99000,100
HPQ,0,20121115,130042,12.99000,200
HPQ,0,20121115,130042,12.99000,900
HPQ,0,20121115,130042,12.99000,300
HPQ,0,20121115,130042,12.99000,100
HPQ,0,20121115,130232,13.00000,200
HPQ,0,20121115,130306,12.99500,100
HPQ,0,20121115,130306,12.99500,100
HPQ,0,20121115,130306,12.99500,100
HPQ,0,20121115,130306,12.99500,100
HPQ,0,20121115,130318,12.99000,200
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,300
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.99000,100
HPQ,0,20121115,130318,12.98000,200
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,100
HPQ,0,20121115,130318,12.98000,300
HPQ,0,20121115,130318,12.98000,300
HPQ,0,20121115,130319,12.98000,500
HPQ,0,20121115,130319,12.98000,389
HPQ,0,20121115,130319,12.98000,300
HPQ,0,20121115,130319,12.98000,600
HPQ,0,20121115,130319,12.98000,200
HPQ,0,20121115,130319,12.98000,100
HPQ,0,20121115,130319,12.98000,200
HPQ,0,20121115,130319,12.98000,200
HPQ,0,20121115,130319,12.98000,188
HPQ,0,20121115,130326,12.98000,100
HPQ,0,20121115,130347,12.98500,100
HPQ,0,20121115,130347,12.99000,500
HPQ,0,20121115,130347,12.99000,100
HPQ,0,20121115,130347,12.99000,300
HPQ,0,20121115,130347,12.99000,200
HPQ,0,20121115,130347,12.99000,300
HPQ,0,20121115,130457,12.99000,300
HPQ,0,20121115,130457,12.99000,600
HPQ,0,20121115,130457,12.99000,500
HPQ,0,20121115,130457,12.99000,100
HPQ,0,20121115,130457,12.99000,100
HPQ,0,20121115,130457,12.99000,100
HPQ,0,20121115,130457,12.99000,4900
HPQ,0,20121115,130457,12.99000,100
HPQ,0,20121115,130457,12.99000,240
HPQ,0,20121115,130506,12.98000,700
HPQ,0,20121115,130506,12.98000,100
HPQ,0,20121115,130521,12.98000,100
HPQ,0,20121115,130521,12.98000,200
HPQ,0,20121115,130521,12.98000,100
HPQ,0,20121115,130521,12.98000,200
HPQ,0,20121115,130521,12.98000,100
HPQ,0,20121115,130623,12.99000,400
HPQ,0,20121115,130623,12.99000,100
HPQ,0,20121115,130623,12.99000,100
HPQ,0,20121115,130623,12.99000,100
HPQ,0,20121115,130623,12.99000,100
HPQ,0,20121115,130623,12.99000,100
HPQ,0,20121115,130623,12.99000,200
HPQ,0,20121115,130624,12.99000,100
HPQ,0,20121115,130624,12.99000,100
HPQ,0,20121115,130624,12.99000,300
HPQ,0,20121115,130633,12.99000,100
HPQ,0,20121115,130634,12.99000,100
HPQ,0,20121115,130635,12.99000,100
HPQ,0,20121115,130635,12.99000,100
HPQ,0,20121115,130635,12.99000,100
HPQ,0,20121115,130638,13.00000,500
HPQ,0,20121115,130638,13.00000,500
HPQ,0,20121115,130702,13.00000,100
HPQ,0,20121115,130719,13.00000,600
HPQ,0,20121115,130719,13.00000,100
HPQ,0,20121115,130719,13.00000,300
HPQ,0,20121115,130719,13.00000,100
HPQ,0,20121115,130719,13.00000,200
HPQ,0,20121115,130719,13.00000,100
HPQ,0,20121115,130719,13.00000,200
HPQ,0,20121115,130719,13.00000,100
HPQ,0,20121115,130719,13.00000,400
HPQ,0,20121115,130726,13.00000,500
HPQ,0,20121115,130726,13.00000,200
HPQ,0,20121115,130726,13.00000,200
HPQ,0,20121115,130726,13.00000,200
HPQ,0,20121115,130726,13.00000,700
HPQ,0,20121115,130800,13.00000,200
HPQ,0,20121115,130804,13.00000,300
HPQ,0,20121115,130804,13.00000,500
HPQ,0,20121115,130804,13.00000,100
HPQ,0,20121115,130804,13.00000,100
HPQ,0,20121115,130804,13.00000,200
HPQ,0,20121115,130804,13.00000,300
HPQ,0,20121115,130816,13.00000,100
HPQ,0,20121115,130816,13.00000,100
HPQ,0,20121115,130826,13.00000,500
HPQ,0,20121115,130826,13.00000,100
HPQ,0,20121115,130850,12.99000,600
HPQ,0,20121115,130850,12.99000,300
HPQ,0,20121115,130850,12.99000,100
HPQ,0,20121115,130850,12.99000,300
